cycles         instructions   cache-references  cache-misses  branches     branch-misses  page-faults  Power
62,206,703     32,245,343     611,044           95,558        5,641,681    222,594        421          6.6
77,401,927     61,320,289     822,194           98,898        10,910,837   595,585        1,392        6.1
344,672,658    271,884,884    5,371,884         1,253,294     49,628,843   2,782,476      5,392        7.6
231,536,106    173,069,386    3,239,546         325,881       31,584,329   1,777,599      4,372        7.0
212,658,828    152,965,489    3,100,104         251,128       28,182,710   1,588,984      4,285        6.8
1,222,008,914  1,254,822,100  21,562,804        647,512       228,200,750  8,455,056      5,044        15.6
932,484,581    1,132,190,670  8,591,598         507,549       196,773,155  7,610,639      7,147        12.5
241,069,403    148,143,290    3,745,890         320,577       27,384,544   1,614,852      4,325        7.4
253,961,868    195,947,891    3,399,113         331,988       36,069,348   1,980,045      4,322        7.7
142,030,480    91,300,650     2,026,211         242,980       17,269,376   1,010,190      3,651        6.5
90,317,329     51,421,629     1,309,714         146,585       9,332,184    492,279        1,511        6.2
293,537,472    224,121,684    3,964,357         379,418       41,137,776   1,981,583      3,386        7.9
152,375,844    87,466,914     2,407,584         233,461       16,182,812   1,157,572      4,261        6.8
230,788,333    176,914,909    3,140,747         246,111       32,218,365   1,961,432      4,291        7.1
227,245,599    179,907,481    2,971,871         239,749       32,090,875   1,989,269      4,303        6.9
239,118,128    153,488,702    3,564,880         356,415       29,057,259   1,418,521      4,273        7.3
240,639,101    166,761,564    3,522,072         312,192       30,593,580   1,905,324      4,423        7.1
304,294,869    251,233,632    3,979,638         317,133       45,150,730   2,795,179      4,337        7.7
179,142,503    119,736,558    2,607,582         309,936       22,149,522   1,264,077      4,296        6.6
276,440,266    238,014,451    3,541,296         296,048       43,122,434   2,427,869      4,304        7.9
133,542,213    78,282,216     2,081,938         206,218       14,472,246   943,371        4,265        6.1
153,858,563    88,004,978     2,452,317         229,737       16,235,177   1,095,669      4,262        6.4
222,668,538    173,667,928    2,843,418         247,543       32,294,656   1,908,324      4,307        6.6
877,888,691    1,022,125,755  13,816,954        416,593       183,360,209  6,518,182      4,320        13.8
601,220,955    657,426,826    9,114,659         445,201       123,306,930  4,399,336      4,482        10.2
370,976,291    352,450,241    4,194,314         427,268       65,120,028   3,050,213      4,285        8.3
524,887,355    577,891,367    5,532,471         361,262       100,113,349  4,979,241      4,304        9.2
231,207,486    164,561,980    3,434,315         301,533       30,276,525   1,811,942      4,261        7.2
45,461,057     28,434,736     575,846           93,386        4,991,037    224,017        1,004        6.0
186,996,054    123,303,068    2,719,035         256,415       22,741,791   1,479,032      4,295        6.9
139,657,504    77,072,309     2,163,158         250,710       14,221,113   954,158        4,267        6.5
151,429,723    89,379,331     2,393,806         213,613       16,482,168   1,055,118      4,300        6.7
407,924,450    416,095,300    4,669,296         292,964       75,659,292   3,485,367      4,418        8.4
209,716,373    136,152,917    3,124,565         304,361       25,165,788   1,573,411      4,323        7.3
161,499,206    102,955,764    2,349,335         232,805       19,019,467   1,185,556      4,307        6.6
132,134,277    74,596,426     2,082,657         208,287       13,882,734   882,923        4,271        6.6
145,085,386    91,547,931     2,216,735         197,208       16,738,116   1,134,186      4,298        6.5
162,411,861    105,634,836    2,414,158         236,628       19,386,286   1,248,664      4,339        6.7
189,828,537    139,791,821    2,588,918         249,297       25,155,950   1,567,909      4,292        7.4
