LLC-loads  LLC-load-misses  LLC-stores  LLC-store-misses  dTLB-loads  dTLB-load-misses  dTLB-stores  dTLB-store-misses  Power
179,679    43,791           64,455      35,780            <not        0                 <not         9,274              5.8
184,877    27,096           166,879     57,439            <not        0                 <not         9,808              5.9
709,281    82,331           239,907     59,956            <not        0                 <not         26,143             6.6
512,648    65,498           163,603     71,983            <not        0                 <not         22,486             6.5
449,310    66,443           249,378     78,343            <not        0                 <not         22,252             6.5
862,543    89,916           172,674     85,260            <not        0                 <not         33,100             6.7
507,357    62,271           206,741     70,184            <not        0                 <not         20,246             6.4
7,196,651  453,314          1,077,486   333,773           <not        0                 <not         60,602             10.8
568,998    86,135           178,137     122,439           <not        0                 <not         19,603             6.5
546,640    65,635           188,497     128,156           <not        0                 <not         26,928             5.9
587,602    78,854           189,806     71,835            <not        0                 <not         24,353             6.5
918,192    92,157           226,217     94,718            <not        0                 <not         25,802             6.4
713,752    94,468           176,610     96,649            <not        0                 <not         22,906             6.7
536,263    105,869          389,719     128,625           <not        0                 <not         26,305             7.4
715,344    137,432          281,713     108,705           <not        0                 <not         19,922             6.8
613,525    107,504          963,569     127,873           <not        0                 <not         21,998             7.3
426,202    70,987           264,518     64,151            <not        0                 <not         13,980             6.4
486,415    50,590           236,964     134,389           <not        0                 <not         29,955             6.5
551,266    61,229           215,213     98,958            <not        0                 <not         21,324             6.4
644,119    60,624           504,108     116,519           <not        0                 <not         29,656             6.6
544,807    107,043          197,221     66,628            <not        0                 <not         14,806             7.2
356,955    53,046           103,936     44,449            <not        0                 <not         11,469             6.1
268,409    41,522           141,816     57,154            <not        0                 <not         10,930             5.9
316,189    42,719           134,044     92,570            <not        0                 <not         17,636             6.4
535,004    50,166           95,161      73,223            <not        0                 <not         20,228             6.4
1,164,434  134,833          435,147     263,080           <not        0                 <not         25,033             7.9
324,420    66,162           230,456     78,455            <not        0                 <not         13,701             6.1
360,286    66,033           342,504     59,688            <not        0                 <not         18,052             6.7
395,550    75,061           96,929      54,989            <not        0                 <not         10,399             6.2
658,847    127,511          202,464     55,558            <not        0                 <not         19,518             6.6
498,160    66,592           228,406     65,128            <not        0                 <not         18,074             6.3
2,463,706  962,990          762,620     82,370            <not        0                 <not         80,883             15.9
4,000,633  1,757,781        1,360,079   118,081           <not        0                 <not         90,187             24.6
928,823    181,759          246,691     85,852            <not        0                 <not         25,688             6.6
648,501    99,474           201,204     85,888            <not        0                 <not         22,867             6.3
483,154    75,566           250,476     88,466            <not        0                 <not         21,280             6.5
448,891    60,979           327,867     80,876            <not        0                 <not         23,789             6.2
512,725    65,198           217,739     73,708            <not        0                 <not         19,001             6.3
501,102    66,648           244,251     73,876            <not        0                 <not         16,932             6.1
443,331    63,928           327,733     133,889           <not        0                 <not         22,062             6.4
369,953    59,604           261,937     51,963            <not        0                 <not         24,861             6.1
449,740    54,444           216,007     91,470            <not        0                 <not         22,479             6.4
561,476    57,631           170,330     64,940            <not        0                 <not         21,740             6.1
491,289    62,424           236,998     65,871            <not        0                 <not         27,294             7.0
819,181    121,140          261,457     78,940            <not        0                 <not         19,822             7.1
690,536    95,612           179,523     83,620            <not        0                 <not         21,412             6.3
858,326    80,352           201,959     111,932           <not        0                 <not         27,803             6.8
544,611    73,614           163,824     108,238           <not        0                 <not         18,429             6.2
508,675    50,456           281,939     100,474           <not        0                 <not         23,348             6.2
866,921    76,340           141,833     74,689            <not        0                 <not         27,425             6.7
595,838    67,861           275,588     117,075           <not        0                 <not         21,252             6.8
470,103    74,814           256,827     64,607            <not        0                 <not         18,735             6.4
531,276    63,585           175,079     106,199           <not        0                 <not         19,457             6.7
496,191    53,023           361,008     182,408           <not        0                 <not         25,794             6.5
424,178    66,510           189,870     101,459           <not        0                 <not         9,610              6.4
661,363    87,971           503,293     355,905           <not        0                 <not         29,637             6.9
455,521    73,539           296,142     106,865           <not        0                 <not         24,572             6.5
464,257    75,787           329,385     74,531            <not        0                 <not         21,038             6.6
522,519    71,789           234,634     87,606            <not        0                 <not         19,326             6.8
523,339    69,734           255,286     59,258            <not        0                 <not         18,706             6.7
537,486    68,091           291,231     106,610           <not        0                 <not         23,374             6.7
487,580    56,870           266,270     114,834           <not        0                 <not         20,460             6.5
504,984    65,659           256,947     158,625           <not        0                 <not         27,352             6.4
794,799    94,213           356,174     119,678           <not        0                 <not         34,135             7.2
515,827    70,937           262,100     106,930           <not        0                 <not         20,824             6.7
605,660    86,943           306,777     97,249            <not        0                 <not         22,082             7.4
426,356    87,524           219,186     117,010           <not        0                 <not         24,085             6.8
479,635    60,407           157,542     61,349            <not        0                 <not         16,368             6.4
